Date,AAPL,BTC-USD,GOOGL,MSFT
2002-01-01,0.3290930688381195,,,20.305805206298828
2002-01-02,0.3501309156417846,,,20.54793930053711
2002-01-03,0.3543384671211242,,,21.21918296813965
2002-01-04,0.3559920191764831,,,21.1180362701416
2002-01-05,0.3559920191764831,,,21.1180362701416
2002-01-06,0.3559920191764831,,,21.1180362701416
2002-01-07,0.3441207408905029,,,21.01383399963379
2002-01-08,0.3397625982761383,,,21.26515769958496
2002-01-09,0.3253364264965057,,,21.05981063842773
2002-01-10,0.3190250694751739,,,21.23450088500977
2002-01-11,0.3163204193115234,,,21.02914047241211
2002-01-12,0.3163204193115234,,,21.02914047241211
2002-01-13,0.3163204193115234,,,21.02914047241211
2002-01-14,0.3178234100341797,,,20.98624038696289
2002-01-15,0.3260879814624786,,,21.31726455688477
2002-01-16,0.3122626841068268,,,20.802339553833008
2002-01-17,0.3378093838691711,,,21.412282943725582
2002-01-19,0.3331508934497833,,,20.259828567504883
2002-01-21,0.3331508934497833,,,20.259828567504883
2002-01-22,0.3278913497924804,,,19.757156372070312
2002-01-23,0.3459234535694122,,,19.53647994995117
2002-01-25,0.3493802845478058,,,19.554866790771484
2002-01-26,0.3493802845478058,,,19.554866790771484
2002-01-28,0.3496807217597961,,,19.56099510192871
2002-01-29,0.3466748297214508,,,19.101247787475582
2002-01-30,0.3620029985904693,,,19.26369857788086
2002-01-31,0.3714700639247894,,,19.52728080749512
2002-02-02,0.3668114840984344,,,19.20545959472656
2002-02-04,0.3809371888637543,,,18.733444213867188
2002-02-05,0.3824391663074493,,,18.742639541625977
2002-02-06,0.3707185387611389,,,18.512767791748047
2002-02-08,0.361100971698761,,,18.58938407897949
2002-02-09,0.361100971698761,,,18.58938407897949
2002-02-10,0.361100971698761,,,18.58938407897949
2002-02-12,0.3713194131851196,,,18.43307304382324
2002-02-13,0.3758275210857391,,,18.947998046875
2002-02-14,0.3696668148040771,,,18.90509033203125
2002-02-15,0.3591477572917938,,,18.460649490356445
2002-02-16,0.3591477572917938,,,18.460649490356445
2002-02-17,0.3591477572917938,,,18.460649490356445
2002-02-19,0.3399132192134857,,,18.06220245361328
2002-02-21,0.3230827748775482,,,17.79248046875
2002-02-22,0.3417157232761383,,,17.77409553527832
2002-02-23,0.3417157232761383,,,17.77409553527832
2002-02-24,0.3417157232761383,,,17.77409553527832
2002-02-25,0.3577954769134521,,,18.10817527770996
2002-02-27,0.3299950659275055,,,17.896692276000977
2002-03-01,0.3523854613304138,,,18.8100700378418
2002-03-02,0.3523854613304138,,,18.8100700378418
2002-03-04,0.3650080561637878,,,19.401620864868164
2002-03-05,0.3535877764225006,,,19.334192276000977
2002-03-06,0.3617017865180969,,,19.502758026123047
2002-03-08,0.3705680072307586,,,19.60085105895996
2002-03-09,0.3705680072307586,,,19.60085105895996
2002-03-10,0.3705680072307586,,,19.60085105895996
2002-03-12,0.3714700639247894,,,19.168678283691406
2002-03-13,0.3680132329463959,,,19.0338134765625
2002-03-14,0.3671118915081024,,,18.764095306396484
2002-03-16,0.3749261796474457,,,19.153358459472656
2002-03-17,0.3749261796474457,,,19.153358459472656
2002-03-18,0.3717705011367798,,,19.046083450317383
2002-03-19,0.3734232485294342,,,19.073659896850582
2002-03-20,0.3744750916957855,,,18.42080879211425
2002-03-23,0.3620029985904693,,,18.52808952331543
2002-03-24,0.3620029985904693,,,18.52808952331543
2002-03-25,0.3508822321891784,,,18.15415382385254
2002-03-27,0.3526857197284698,,,18.21851348876953
2002-03-28,0.3556915521621704,,,18.485164642333984
2002-03-31,0.3556915521621704,,,18.485164642333984
2002-04-01,0.3675629794597626,,,18.506629943847656
2002-04-03,0.3568932116031647,,,17.265295028686523
2002-04-05,0.3717705011367798,,,17.12430763244629
2002-04-08,0.3690651059150696,,,17.538084030151367
2002-04-09,0.3621527254581451,,,16.817798614501953
2002-04-10,0.3705680072307586,,,17.256103515625
2002-04-13,0.3765788376331329,,,17.142696380615234
2002-04-14,0.3765788376331329,,,17.142696380615234
2002-04-15,0.3756777346134186,,,17.069135665893555
2002-04-16,0.386797547340393,,,17.71892738342285
2002-04-18,0.3818384408950805,,,17.277559280395508
2002-04-19,0.3753763437271118,,,17.53195571899414
2002-04-20,0.3753763437271118,,,17.53195571899414
2002-04-21,0.3753763437271118,,,17.53195571899414
2002-04-22,0.3686148524284363,,,17.038490295410156
2002-04-23,0.3644071519374847,,,16.548080444335938
2002-04-24,0.3571938276290893,,,16.250768661499023
2002-04-25,0.3624531626701355,,,16.468400955200195
2002-04-26,0.3457735478878021,,,15.784883499145508
2002-04-27,0.3457735478878021,,,15.784883499145508
2002-04-28,0.3457735478878021,,,15.784883499145508
2002-04-30,0.3647076487541199,,,16.01782989501953
2002-05-01,0.3603494167327881,,,16.168014526367188
2002-05-02,0.3559920191764831,,,15.696004867553713
2002-05-03,0.3532865047454834,,,15.190271377563477
2002-05-04,0.3532865047454834,,,15.190271377563477
2002-05-05,0.3532865047454834,,,15.190271377563477
2002-05-06,0.3403633534908294,,,14.9021577835083
2002-05-07,0.3376587927341461,,,15.162690162658691
2002-05-08,0.3662105202674866,,,16.848451614379883
2002-05-09,0.3635051846504211,,,15.974916458129885
2002-05-10,0.3504321575164795,,,15.34045696258545
2002-05-11,0.3504321575164795,,,15.34045696258545
2002-05-14,0.3848435282707214,,,16.820865631103516
2002-05-15,0.3798852860927582,,,16.781028747558594
2002-05-16,0.3788333535194397,,,17.084461212158203
2002-05-17,0.3758275210857391,,,17.17334747314453
