Date,month_sin,month_cos,day_of_week_sin,day_of_week_cos,days_since_start,GDP growth rate (%),Unemployment rate (%),Real interest rate (%),Inflation rate (%),Population growth (%),Export growth (%),Import growth (%),SentimentNum
2002-01-01,0.75,0.9330127018922194,0.9009688679024191,0.8019377358048384,0.0,0.49605930818161137,0.3579100439727524,0.6707200941551212,0.14390558823108984,0.9490052781485763,0.3662153982050721,0.546415785175115,0.0
2002-01-02,0.75,0.9330127018922194,1.0,0.3568958678922095,0.00012445550715618758,0.49640731187110754,0.3580042157887735,0.6703100282393594,0.14408240610124085,0.9487737536650984,0.3667406616191032,0.5467712301415678,1.0
2002-01-03,0.75,0.9330127018922194,0.7225209339563144,5.551115123125783e-17,0.00024891101431238905,0.49675531556060365,0.35809838760479484,0.6698999623235975,0.14425922397139185,0.9485422291816206,0.3672659250331343,0.5471266751080206,1.0
2002-01-04,0.75,0.9330127018922194,0.27747906604368566,0.0,0.00037336652146857663,0.49710331925009976,0.35819255942081596,0.6694898964078355,0.14443604184154285,0.9483107046981429,0.3677911884471654,0.5474821200744734,1.0
2002-01-05,0.75,0.9330127018922194,0.0,0.3568958678922094,0.0004978220286247642,0.49745132293959593,0.3582867312368373,0.6690798304920735,0.14461285971169383,0.9480791802146649,0.36831645186119655,0.5478375650409262,1.0
2002-01-06,0.75,0.9330127018922194,0.0990311320975808,0.8019377358048383,0.0006222775357809657,0.497799326629092,0.3583809030528584,0.6686697645763117,0.14478967758184483,0.947847655731187,0.36884171527522763,0.548193010007379,1.0
2002-01-07,0.75,0.9330127018922194,0.5,1.0,0.0007467330429371533,0.49814733031858816,0.35847507486887964,0.6682596986605498,0.14496649545199583,0.9476161312477094,0.3693669786892587,0.5485484549738318,1.0
2002-01-08,0.75,0.9330127018922194,0.9009688679024191,0.8019377358048384,0.0008711885500933408,0.49849533400808427,0.35856924668490064,0.6678496327447878,0.14514331332214683,0.9473846067642315,0.36989224210328986,0.5489038999402845,0.5
2002-01-09,0.75,0.9330127018922194,1.0,0.3568958678922095,0.0009956440572495423,0.4988433376975804,0.35866341850092176,0.6674395668290259,0.14532013119229784,0.9471530822807535,0.370417505517321,0.5492593449067373,1.0
2002-01-10,0.75,0.9330127018922194,0.7225209339563144,5.551115123125783e-17,0.0011200995644057299,0.49919134138707655,0.3587575903169431,0.6670295009132641,0.14549694906244884,0.9469215577972758,0.3709427689313521,0.5496147898731901,0.5
2002-01-11,0.75,0.9330127018922194,0.27747906604368566,0.0,0.0012445550715619175,0.49953934507657266,0.3588517621329642,0.6666194349975021,0.14567376693259984,0.946690033313798,0.3714680323453832,0.5499702348396429,0.0
2002-01-12,0.75,0.9330127018922194,0.0,0.3568958678922094,0.001369010578718105,0.4998873487660688,0.35894593394898533,0.6662093690817402,0.14585058480275084,0.9464585088303201,0.3719932957594143,0.5503256798060957,0.0
2002-01-13,0.75,0.9330127018922194,0.0990311320975808,0.8019377358048383,0.0014934660858743065,0.5002353524555649,0.35904010576500667,0.6657993031659782,0.14602740267290182,0.946226984346842,0.37251855917344545,0.5506811247725485,0.0
2002-01-14,0.75,0.9330127018922194,0.5,1.0,0.001617921593030494,0.500583356145061,0.3591342775810278,0.6653892372502164,0.14620422054305282,0.9459954598633646,0.3730438225874766,0.5510365697390013,0.0
2002-01-15,0.75,0.9330127018922194,0.9009688679024191,0.8019377358048384,0.0017423771001866817,0.5009313598345572,0.3592284493970489,0.6649791713344545,0.14638103841320382,0.9457639353798866,0.3735690860015077,0.5513920147054541,0.5
2002-01-16,0.75,0.9330127018922194,1.0,0.3568958678922095,0.0018668326073428831,0.5012793635240533,0.35932262121307024,0.6645691054186925,0.14655785628335483,0.9455324108964087,0.37409434941553876,0.5517474596719069,0.5
2002-01-17,0.75,0.9330127018922194,0.7225209339563144,5.551115123125783e-17,0.0019912881144990707,0.5016273672135494,0.35941679302909135,0.6641590395029306,0.14673467415350583,0.9453008864129309,0.3746196128295699,0.5521029046383596,0.5
2002-01-19,0.75,0.9330127018922194,0.0,0.3568958678922094,0.002240199128811446,0.5023233745925417,0.3596051366611337,0.6633389076714068,0.14708830989380783,0.9448378374459752,0.37567013965763213,0.5528137945712652,0.5
2002-01-21,0.75,0.9330127018922194,0.5,1.0,0.002489110143123835,0.503019381971534,0.35979348029317604,0.662518775839883,0.1474419456341098,0.9443747884790197,0.37672066648569436,0.5535246845041708,0.5
2002-01-22,0.75,0.9330127018922194,0.9009688679024191,0.8019377358048384,0.0026135656502800225,0.50336738566103,0.35988765210919726,0.6621087099241211,0.1476187635042608,0.9441432639955416,0.3772459298997255,0.5538801294706236,0.5
2002-01-23,0.75,0.9330127018922194,1.0,0.3568958678922095,0.002738021157436224,0.5037153893505262,0.3599818239252185,0.6616986440083592,0.14779558137441182,0.9439117395120638,0.3777711933137566,0.5542355744370764,1.0
2002-01-25,0.75,0.9330127018922194,0.27747906604368566,0.0,0.002986932171748599,0.5044113967295184,0.36017016755726083,0.6608785121768352,0.14814921711471382,0.9434486905451083,0.3788217201418188,0.554946464369982,0.5
2002-01-26,0.75,0.9330127018922194,0.0,0.3568958678922094,0.0031113876789047867,0.5047594004190146,0.36026433937328206,0.6604684462610734,0.14832603498486482,0.9432171660616302,0.37934698355584995,0.5553019093364348,0.5
2002-01-28,0.75,0.9330127018922194,0.5,1.0,0.0033602986932171758,0.5054554077980068,0.3604526830053244,0.6596483144295495,0.14867967072516683,0.9427541170946747,0.3803975103839122,0.5560127992693403,0.0
