Date,GDP growth rate (%),Unemployment rate (%),Real interest rate (%),Inflation rate (%),Population growth (%),Export growth (%),SentimentScore,SentimentNum
2002-01-01,0.49605930818161137,0.3579100439727524,0.6707200941551212,0.14390558823108984,0.9490052781485763,0.3662153982050721,0.3123279967138346,0.0
2002-01-02,0.49640731187110754,0.3580042157887735,0.6703100282393594,0.14408240610124085,0.9487737536650984,0.3667406616191032,0.4860007151617894,1.0
2002-01-03,0.49675531556060365,0.35809838760479484,0.6698999623235975,0.14425922397139185,0.9485422291816206,0.3672659250331343,0.6499371743907677,1.0
2002-01-04,0.49710331925009976,0.35819255942081596,0.6694898964078355,0.14443604184154285,0.9483107046981429,0.3677911884471654,0.5887273210089218,1.0
2002-01-05,0.49745132293959593,0.3582867312368373,0.6690798304920735,0.14461285971169383,0.9480791802146649,0.36831645186119655,0.5887273210089218,1.0
2002-01-06,0.497799326629092,0.3583809030528584,0.6686697645763117,0.14478967758184483,0.947847655731187,0.36884171527522763,0.5887273210089218,1.0
2002-01-07,0.49814733031858816,0.35847507486887964,0.6682596986605498,0.14496649545199583,0.9476161312477094,0.3693669786892587,0.42772282277090373,1.0
2002-01-08,0.49849533400808427,0.35856924668490064,0.6678496327447878,0.14514331332214683,0.9473846067642315,0.36989224210328986,0.38381728338162,0.5
2002-01-09,0.4988433376975804,0.35866341850092176,0.6674395668290259,0.14532013119229784,0.9471530822807535,0.370417505517321,0.42882567675688377,1.0
2002-01-10,0.49919134138707655,0.3587575903169431,0.6670295009132641,0.14549694906244884,0.9469215577972758,0.3709427689313521,0.35530276333636207,0.5
2002-01-11,0.49953934507657266,0.3588517621329642,0.6666194349975021,0.14567376693259984,0.946690033313798,0.3714680323453832,0.30171721683569036,0.0
2002-01-12,0.4998873487660688,0.35894593394898533,0.6662093690817402,0.14585058480275084,0.9464585088303201,0.3719932957594143,0.30171721683569036,0.0
2002-01-13,0.5002353524555649,0.35904010576500667,0.6657993031659782,0.14602740267290182,0.946226984346842,0.37251855917344545,0.30171721683569036,0.0
2002-01-14,0.500583356145061,0.3591342775810278,0.6653892372502164,0.14620422054305282,0.9459954598633646,0.3730438225874766,0.34227104360034744,0.0
2002-01-15,0.5009313598345572,0.3592284493970489,0.6649791713344545,0.14638103841320382,0.9457639353798866,0.3735690860015077,0.41082534759182954,0.5
2002-01-16,0.5012793635240533,0.35932262121307024,0.6645691054186925,0.14655785628335483,0.9455324108964087,0.37409434941553876,0.4015405287961123,0.5
2002-01-17,0.5016273672135494,0.35941679302909135,0.6641590395029306,0.14673467415350583,0.9453008864129309,0.3746196128295699,0.3958183258798925,0.5
2002-01-19,0.5023233745925417,0.3596051366611337,0.6633389076714068,0.14708830989380783,0.9448378374459752,0.37567013965763213,0.3522860873457173,0.5
2002-01-21,0.503019381971534,0.35979348029317604,0.662518775839883,0.1474419456341098,0.9443747884790197,0.37672066648569436,0.3522860873457173,0.5
2002-01-22,0.50336738566103,0.35988765210919726,0.6621087099241211,0.1476187635042608,0.9441432639955416,0.3772459298997255,0.3471080471309083,0.5
2002-01-23,0.5037153893505262,0.3599818239252185,0.6616986440083592,0.14779558137441182,0.9439117395120638,0.3777711933137566,0.4216052201785971,1.0
2002-01-25,0.5044113967295184,0.36017016755726083,0.6608785121768352,0.14814921711471382,0.9434486905451083,0.3788217201418188,0.3471489560225109,0.5
2002-01-26,0.5047594004190146,0.36026433937328206,0.6604684462610734,0.14832603498486482,0.9432171660616302,0.37934698355584995,0.3471489560225109,0.5
2002-01-28,0.5054554077980068,0.3604526830053244,0.6596483144295495,0.14867967072516683,0.9427541170946747,0.3803975103839122,0.29944487838498,0.0
2002-01-29,0.505803411487503,0.3605468548213455,0.6592382485137877,0.1488564885953178,0.9425225926111969,0.38092277379794326,0.4663909474804922,1.0
2002-01-30,0.506151415176999,0.36064102663736686,0.6588281825980258,0.1490333064654688,0.9422910681277188,0.3814480372119744,0.5597513462615327,1.0
2002-01-31,0.5064994188664952,0.360735198453388,0.6584181166822638,0.1492101243356198,0.9420595436442414,0.3819733006260055,0.3919820496169127,0.5
2002-02-02,0.5071954262454874,0.3609235420854304,0.65759798485074,0.14956376007592181,0.9415964946772855,0.3830238274540677,0.2972169851280467,0.0
2002-02-04,0.5078914336244796,0.36111188571747266,0.6567778530192161,0.14991739581622382,0.9411334457103298,0.38407435428212994,0.29852101747053245,0.0
2002-02-05,0.5082394373139758,0.361206057533494,0.6563677871034543,0.15009421368637482,0.9409019212268519,0.3845996176961611,0.42574939869385997,1.0
2002-02-06,0.508587441003472,0.3613002293495151,0.6559577211876924,0.1502710315565258,0.9406703967433738,0.38512488111019216,0.3623010432840917,0.5
2002-02-08,0.5092834483824642,0.36148857298155734,0.6551375893561685,0.1506246672968278,0.9402073477764183,0.38617540793825444,0.3436073072023067,0.0
2002-02-09,0.5096314520719603,0.3615827447975787,0.6547275234404065,0.1508014851669788,0.9399758232929405,0.38670067135228553,0.3436073072023067,0.0
2002-02-10,0.5099794557614564,0.3616769166135998,0.6543174575246447,0.1509783030371298,0.9397442988094626,0.3872259347663166,0.3436073072023067,0.0
2002-02-12,0.5106754631404486,0.36186526024564225,0.6534973256931208,0.1513319387774318,0.9392812498425069,0.3882764615943789,0.24210611782062383,0.0
2002-02-13,0.5110234668299448,0.36195943206166337,0.6530872597773589,0.15150875664758282,0.9390497253590293,0.38880172500841,0.3201918165419135,0.0
2002-02-14,0.511371470519441,0.3620536038776845,0.6526771938615971,0.1516855745177338,0.9388182008755515,0.3893269884224411,0.34978939265146153,0.5
