Date,month_sin,month_cos,day_of_week_sin,day_of_week_cos,days_since_start,GDP growth rate (%),Unemployment rate (%),Real interest rate (%),Inflation rate (%),Population growth (%),Export growth (%),Import growth (%),SentimentNum
2003-10-16,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,1384,3.6258079635179232,5.626041095890411,1.7129308177459484,2.5382998958737044,0.9157312267955294,11.548694835065922,14.59166604885339,1
2003-10-17,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,1385,3.628690609343044,5.624780821917808,1.7115639299935197,2.540258177787293,0.9159136759806896,11.57585651675101,14.613496435704851,0
2003-10-18,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,1386,3.6315732551681656,5.623520547945206,1.7101970422410913,2.5422164597008825,0.9160961251658498,11.6030181984361,14.635326822556314,0
2003-10-19,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,1387,3.634455900993287,5.622260273972603,1.7088301544886626,2.544174741614471,0.91627857435101,11.63017988012119,14.657157209407774,0
2003-10-20,-0.8660254037844386,0.5000000000000001,0.0,1.0,1388,3.637338546818408,5.621,1.7074632667362342,2.54613302352806,0.9164610235361704,11.65734156180628,14.678987596259237,-1
2003-10-21,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,1389,3.6402211926435295,5.619739726027397,1.7060963789838055,2.548091305441649,0.9166434727213304,11.684503243491369,14.7008179831107,1
2003-10-22,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,1390,3.6431038384686505,5.618479452054794,1.704729491231377,2.550049587355238,0.9168259219064908,11.711664925176455,14.722648369962162,1
2003-10-23,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,1391,3.645986484293772,5.617219178082192,1.7033626034789484,2.552007869268827,0.917008371091651,11.738826606861547,14.744478756813622,1
2003-10-24,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,1392,3.648869130118893,5.615958904109589,1.70199571572652,2.553966151182416,0.9171908202768112,11.765988288546636,14.766309143665085,0
2003-10-25,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,1393,3.6517517759440143,5.614698630136986,1.700628827974091,2.5559244330960045,0.9173732694619714,11.793149970231726,14.788139530516546,0
2003-10-26,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,1394,3.654634421769136,5.613438356164384,1.6992619402216629,2.557882715009593,0.9175557186471316,11.820311651916814,14.809969917368008,0
