Date,AAPL,BTC-USD,GOOGL,MSFT
2002-01-01,0.0006715303604983326,,,0.024856737092201736
2002-01-02,0.0007786081176689606,,,0.02551609538291743
2002-01-03,0.000800023578090944,,,0.02734396716081168
2002-01-04,0.0008084397742494723,,,0.027068533359911683
2002-01-05,0.0008084397742494723,,,0.027068533359911683
2002-01-06,0.0008084397742494723,,,0.027068533359911683
2002-01-07,0.0007480177231967151,,,0.02678477889242594
2002-01-08,0.0007258357888509151,,,0.027469161509989383
2002-01-09,0.0006524099229275947,,,0.02690997843552785
2002-01-10,0.0006202865806077158,,,0.02738567956614882
2002-01-11,0.0006065205390466369,,,0.026826460134217807
2002-01-12,0.0006065205390466369,,,0.026826460134217807
2002-01-13,0.0006065205390466369,,,0.026826460134217807
2002-01-14,0.0006141704129682523,,,0.02670963839086795
2002-01-15,0.0006562351632622095,,,0.027611054325504897
2002-01-16,0.0005858676086889769,,,0.02620885580023293
2002-01-17,0.000715894380876836,,,0.027869800047915498
2002-01-19,0.0006921837459167033,,,0.02473153754909982
2002-01-21,0.0006921837459167033,,,0.02473153754909982
2002-01-22,0.0006654138894850612,,,0.023362704792958197
2002-01-23,0.0007571931123076879,,,0.02276177814961427
2002-01-25,0.0007747875796283571,,,0.022811847579006617
2002-01-26,0.0007747875796283571,,,0.022811847579006617
2002-01-28,0.0007763167353034006,,,0.022828535657496
2002-01-29,0.0007610174425208814,,,0.021576592165718958
2002-01-30,0.0008390342642681146,,,0.02201896388467906
2002-01-31,0.0008872194294348365,,,0.022736727853145483
2002-02-02,0.0008635083394139926,,,0.02186037260282575
2002-02-04,0.0009354048979753656,,,0.020575021790524714
2002-02-05,0.0009430496145422587,,,0.020600061699145092
2002-02-06,0.0008833943407871255,,,0.019974095147180793
2002-02-08,0.0008344431567572977,,,0.020182729888805373
2002-02-09,0.0008344431567572977,,,0.020182729888805373
2002-02-10,0.0008344431567572977,,,0.020182729888805373
2002-02-12,0.0008864526521372125,,,0.019757077411879917
2002-02-13,0.0009093978749818541,,,0.02115927593715189
2002-02-14,0.0008780413099595992,,,0.02104243341810519
2002-02-15,0.0008245017487832191,,,0.01983217116812002
2002-02-16,0.0008245017487832191,,,0.01983217116812002
2002-02-17,0.0008245017487832191,,,0.01983217116812002
2002-02-19,0.0007266024144616354,,,0.018747155206554664
2002-02-21,0.0006409393592784727,,,0.018012671996053616
2002-02-22,0.0007357767417642831,,,0.017962607760585482
2002-02-23,0.0007357767417642831,,,0.017962607760585482
2002-02-24,0.0007357767417642831,,,0.017962607760585482
2002-02-25,0.0008176189555330346,,,0.01887234436180816
